Logged,dhost,src,peerHost,ruleName,act,app,deviceDirection,deviceMacAddress,hostName,potentialRisk,dst,remarks
2023-09-21 15:53:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:53:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:53:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:53:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:53:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:52:57,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:52:53,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:52:44,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:52:41,,,,Lockdown,"[""Assessment (Allow)""]",,,,,,,
2023-09-21 15:52:01,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:52:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:52:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:52:00,,,,,"[""Block""]",,,,,,,
2023-09-21 15:51:49,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 15:51:39,,,,Google Drive v2,"[""Allowed""]",,,,,,,
