Logged,eventSubClass,pAttackPhase,tags,dhost,app,remarks,dpt,shost,hostName,tacticId
13/09/2023 07:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.5.141.10,SSH,"[""IP address: 10.5.141.10""]",12013,10.5.141.11,,"[""TA0008""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.3.10,HTTP,"[""IP address: 172.30.3.10"", ""Port: 87""]",87,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Login Success,Lateral Movement,"[""XSAE.PDI-100119-4443"",""threat.pua"",""mitre.t1021.004""]",10.102.104.48,SSH,"[""IP address: 10.102.104.48""]",35536,10.102.104.53,,"[""TA0008""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.94,HTTP,"[""IP address: 172.30.2.94"", ""Port: 83""]",83,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.92,HTTP,"[""IP address: 172.30.2.92"", ""Port: 81""]",81,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.2.94,HTTP,"[""IP address: 172.30.2.94"", ""Port: 86""]",86,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.3.10,HTTP,"[""IP address: 172.30.3.10"", ""Port: 88""]",88,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",172.30.3.10,HTTP,"[""IP address: 172.30.3.10"", ""Port: 84""]",84,172.30.3.68,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.51,HTTP,"[""IP address: 10.102.104.51"", ""Port: 55514""]",55514,10.102.104.48,,"[""TA0011""]"
13/09/2023 07:00,Port Mis-use,,"[""MITRE.T1071.001"",""XSAE.F4482"",""MITRE.T1008"",""MITRE.T1571""]",10.102.104.52,HTTP,"[""IP address: 10.102.104.52"", ""Port: 60996""]",60996,10.102.104.48,,"[""TA0011""]"
